Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
reshist_addr5_DUI,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: DUI 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_edu_l,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of population aged >=25 y with <9 y of education 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_edu_h,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of population aged >=25 y with at least a high school diploma 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_work_c,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of employed persons aged >=16 y in white collar occupations 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_income,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Median family income 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_in_dis,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Income disparity defined by Singh as the log of 100 x ratio of the number of households with <10000 annual income to the number of households with >50000 annual income. 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_home_v,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Median home value 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_rent,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Median gross rent 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_mortg,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Median monthly mortgage 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_home_o,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of owner 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_crowd,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of occupied housing units with >1 person per room (crowding) 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_unemp,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of civilian labor force population aged >=16 y unemployed (unemployment rate) 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_pov,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of families below the poverty level 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_b138,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of population below 138% of the poverty threshold 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_sp,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of single 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_ncar,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of occupied housing units without a motor vehicle 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_ntel,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of occupied housing units without a telephone 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_nplumb,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of occupied housing units without complete plumbing (log) 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_wSUM,residential_history_derived_scores_daic_use_only,,text,"Residential history derived- Area Deprivation Index: scaled weighted sum based on Kind et al., Annals of Internal Medicine, 2014 5",,,number,,,,,,,,,,@READONLY
reshist_addr5_ADI_perc,residential_history_derived_scores_daic_use_only,,text,"Residential history derived- Area Deprivation Index: national percentiles, higher means higher value of ADI 5",,,number,,,,,,,,,,@READONLY
reshist_addr5_PopDensity,residential_history_derived_scores_daic_use_only,,text,Residential history derived- UN adjusted population density 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_NO2,residential_history_derived_scores_daic_use_only,,text,Residential history derived- 3 years average of ground level NO2  5,,,number,,,,,,,,,,@READONLY
reshist_addr5_PM25,residential_history_derived_scores_daic_use_only,,text,Residential history derived- annual average of PM 2.5 5,,,number,,,,,,,,,,@READONLY
reshist_addr5_proxRd,residential_history_derived_scores_daic_use_only,,text,"Residential history derived- proximity to major roads, in meters 5",,,number,,,,,,,,,,@READONLY
reshist_addr6_id,residential_history_derived_scores_daic_use_only,,text,Residential history id 6,,,,,,,,,,,,,@READONLY
reshist_addr6_valid,residential_history_derived_scores_daic_use_only,,yesno,Residential history valid 6,,,,,,,,,,,,,@READONLY
reshist_addr6_status,residential_history_derived_scores_daic_use_only,,text,Residential history status message 6,,,,,,,,,,,,,@READONLY
reshist_addr6_years,residential_history_derived_scores_daic_use_only,,text,Residential history years of residence 6,,,integer,1,20,,,,,,,,@READONLY
reshist_addr6_elevation,residential_history_derived_scores_daic_use_only,,text,Residential history derived elevation 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_D1A,residential_history_derived_scores_daic_use_only,,text,Residential history derived- gross residential density 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_WalkIndex,residential_history_derived_scores_daic_use_only,,text,Residential history derived- national walkability index 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_GRNDTOT,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: grand total 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_P1TOT,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: total adult offenses 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_P1VLNT,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: adult violent crimes 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_DRUGTOT,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: durg abose violations total 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_DRGSALE,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: drug sale total 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_MJSALE,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: Marijuana sale 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_DRGPOSS,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: drug possession total 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_DUI,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Uniform Crime Reports: DUI 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_edu_l,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of population aged >=25 y with <9 y of education 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_edu_h,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of population aged >=25 y with at least a high school diploma 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_work_c,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of employed persons aged >=16 y in white collar occupations 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_income,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Median family income 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_in_dis,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Income disparity defined by Singh as the log of 100 x ratio of the number of households with <10000 annual income to the number of households with >50000 annual income. 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_home_v,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Median home value 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_rent,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Median gross rent 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_mortg,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Median monthly mortgage 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_home_o,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of owner 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_crowd,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of occupied housing units with >1 person per room (crowding) 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_unemp,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of civilian labor force population aged >=16 y unemployed (unemployment rate) 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_pov,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of families below the poverty level 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_b138,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of population below 138% of the poverty threshold 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_sp,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of single 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_ncar,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of occupied housing units without a motor vehicle 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_ntel,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of occupied housing units without a telephone 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_nplumb,residential_history_derived_scores_daic_use_only,,text,Residential history derived- Area Deprivation Index: Percentage of occupied housing units without complete plumbing (log) 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_wSUM,residential_history_derived_scores_daic_use_only,,text,"Residential history derived- Area Deprivation Index: scaled weighted sum based on Kind et al., Annals of Internal Medicine, 2014 6",,,number,,,,,,,,,,@READONLY
reshist_addr6_ADI_perc,residential_history_derived_scores_daic_use_only,,text,"Residential history derived- Area Deprivation Index: national percentiles, higher means higher value of ADI 6",,,number,,,,,,,,,,@READONLY
reshist_addr6_PopDensity,residential_history_derived_scores_daic_use_only,,text,Residential history derived- UN adjusted population density 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_NO2,residential_history_derived_scores_daic_use_only,,text,Residential history derived- 3 years average of ground level NO2  6,,,number,,,,,,,,,,@READONLY
reshist_addr6_PM25,residential_history_derived_scores_daic_use_only,,text,Residential history derived- annual average of PM 2.5 6,,,number,,,,,,,,,,@READONLY
reshist_addr6_proxRd,residential_history_derived_scores_daic_use_only,,text,"Residential history derived- proximity to major roads, in meters 6",,,number,,,,,,,,,,@READONLY
